dlga_start:member_chat|Not shown!{***}
dlga_member_chat:kidnapped_girl_chat_1|Are we home yet?{***}
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Not yet.{***}
dlga_kidnapped_girl_chat_2:close_window|I can't wait to get back. It's so scary on the outside, after all I've suffered...{***}
dlga_member_chat:member_lady_1|{playername}, when we will reach our destination?{***}
dlga_member_lady_1:member_lady_2a|We still have a long way ahead of us.{***}
dlga_member_lady_2a:close_window|Ah, I am going to enjoy the road for a while longer then. I won't complain.I find riding out in the open so much more pleasant than sitting in the city all day.You know, I envy you. You can live like this all the time.{***}
dlga_member_lady_1:member_lady_2b|Soon. We're almost there.{***}
dlga_member_lady_2b:close_window|That's good news. Not that I don't like your company, but I did miss my little luxuries.Still I am sorry that I'll leave you soon. You must promise me, you'll come visit me when you can.{***}
dlga_member_chat:supported_pretender_talk|Greetings, {playername}, most loyal among my supporters. I await your counsel.{***}
dlga_supported_pretender_talk:pretender_progress|What do you think about our progress so far?{***}
dlga_pretender_progress:pretender_progress_2|{reg11?We have {reg11} {s0} on our side:We have no {s0} with us yet},whereas {reg21?{s9} still has {reg21} {s0} supporting {reg0?her:him}:{s9} has no loyal {s0} left}.{reg19?We control {reg13?{reg13} towns:} {reg14?{reg14} castles:} {reg15?and {reg15} villages:}:We don't control any settlements},while {reg29?they have {reg23?{reg23} towns:} {reg24?{reg24} castles:} {reg25?and {reg25} villages:}:they have no remaining settlements}.Overall, {s30}.{***}
dlga_pretender_progress_2:supported_pretender_pretalk|Then, we must keep fighting and rally our supporters!{***}
dlga_supported_pretender_pretalk:supported_pretender_talk|Anything else?{***}
dlga_supported_pretender_talk:supported_pretender_equip|{reg65?My lady:My lord}, may I check out your equipment?{***}
dlga_supported_pretender_equip:supported_pretender_pretalk|Very well, it's all here...{***}
dlga_supported_pretender_talk:pretneder_view_char_requested|Can you tell me about your skills?{***}
dlga_pretneder_view_char_requested:supported_pretender_pretalk|Well, all right.{***}
dlga_supported_pretender_talk:supported_pretender_grant_fief|I suggest that you decide who should manage a settlement that has no governor.{***}
dlga_supported_pretender_grant_fief:supported_pretender_grant_fief_select|Which settlement did you have in mind?{***}
dlga_supported_pretender_grant_fief_select:supported_pretender_grant_fief_choose_recipient|{s4}{***}
dlga_supported_pretender_grant_fief_choose_recipient:center_captured_rebellion|And who should govern it?{***}
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}{***}
dlga_center_captured_rebellion_2:close_window|All right, {playername}. Your suggestion is reasonable. {reg6?I:{reg7?You:{s11}}} will be the new {reg3?governor:governor} of {s1}.{***}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|{reg0?{s65}:Please {s65}}, I want to govern {s1}. (fiefs: {s0}){***}
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, you should manage {s1} as a governor. (fiefs: {s0}){***}
dlga_center_captured_rebellion:center_captured_rebellion_2_defer|You should appoint no one yet, and decide later.{***}
dlga_center_captured_rebellion_2_defer:close_window|All right, {playername}. Your suggestion is reasonable. I shall postpone the appointment of a governor for {s1} for the time.{***}
dlga_supported_pretender_grant_fief_select:supported_pretender_pretalk|Nevermind.{***}
dlga_supported_pretender_talk:close_window|Let us keep going, {reg65?my lady:sir}.{***}
dlga_pretender_progress_2:pretender_quit_rebel_confirm|It seems our struggle is hopeless. We must give up.{***}
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, you can't abandon me now. Are you serious?{***}
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|Indeed, I am. I can't support you any longer.{***}
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|Are you absolutely sure? I will never forgive you if you abandon my cause.{***}
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|I am sure.{***}
dlga_pretender_quit_rebel:close_window|So be it. Then my cause is lost. I will return to Europe and hide someplace east. With me gone, you might be able to make peace with {s4}.{***}
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|Let me think about this some more.{***}
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|I was jesting. I will fight for you until we succeed.{***}
dlga_member_chat:officer_talk_p|Your orders, colonel?{***}
dlga_member_chat:supplier_talk_p|What do you want, {sir/m'am}?{***}
dlga_member_chat:secretary_talk_p|{Monsignor/Mademoiselle}, I am listening?{***}
dlga_member_chat:chamberlain_talk_p|Yes, {senor/senora}?{***}
dlga_member_chat:member_talk|Yes, {s5}?{***}
dlga_member_talk:member_trade|Let me see your equipment.{***}
dlga_member_trade:do_member_trade|Very well, it's all here...{***}
dlga_do_member_trade:member_talk|Anything else?{***}
dlga_member_talk:view_member_char_requested|What can you tell me about your skills?{***}
dlga_view_member_char_requested:do_member_view_char|All right, let me tell you...{***}
dlga_do_member_view_char:member_talk|Anything else?{***}
dlga_member_talk:member_separate|We need to part ways for a while.{***}
dlga_member_separate:close_window|Very well, I will return to managing my settlements.{***}
dlga_member_separate:member_separate_confirm|Oh really? Well, I'm not just going to wait around here. I'll go around the towns looking for other work. Is that what you want?{***}
dlga_member_separate_confirm:member_separate_yes|That's right. We need to part ways.{***}
dlga_member_separate_yes:close_window|Well. I'll be off, then. Look me up if you need me.{***}
dlga_member_separate_confirm:do_member_trade|No, I'd rather have you at my side.{***}
dlga_member_talk:member_fief_grant_1|Would you govern a town for me, friend?{***}
dlga_member_fief_grant_1:member_fief_grant_2|Which town do you have in mind?{***}
dlga_member_fief_grant_2:do_member_trade|Forget it for now, we'll discuss it later.{***}
dlga_member_fief_grant_2:member_fief_grant_3|{s11}.{***}
dlga_member_fief_grant_3:close_window|{s5}{***}
dlga_member_talk:close_window|Nevermind.{***}
dlga_member_separate:companion_quitting|Well, actually, there was something I needed to tell you.{***}
dlga_companion_quitting:dplmc_companion_quitting_lord_1|Travelling with you was good, but I have to return to my business now.{***}
dlga_dplmc_companion_quitting_lord_1:dplmc_companion_quitting_lord_2|Fine then, farewell.{***}
dlga_dplmc_companion_quitting_lord_2:lord_leave|Fine then, farewell.{***}
dlga_lord_leave:lord_leave_give_quest|Before you leave, {playername}, I have to ask you for a favor. Though we fight on opposing sides,but I pray that you believe, as I do, that we can still value the virtues of mercy and compassion.Thus I hoped that you would be kind enough to assist me in something important to me.{***}
dlga_lord_leave_give_quest:enemy_lord_tell_mission|I am listening.{***}
dlga_enemy_lord_tell_mission:lord_mission_told|An old friend of mine is very sick. An old battle wound has got infected again,and he will surely die unless a good surgeon treats him soon. This man is dear to me, {playername},but he's stubborn as an ox and refuses to have the local physicians touch him. He doesn't trust their skill at all.I've heard you have a good surgeon travelling with your company. If you would ask him to come here and have a look,{reg3?she:he} may be able to convince my friend to give his consent to a surgery.Please, I will be deeply indebted to you if you grant me this request.{***}
dlga_lord_mission_told:lord_mission_accepted|You can count on me, {s65}.{***}
dlga_lord_mission_accepted:close_window|Excellent, {playername}, excellent. I have every confidence in you.{***}
dlga_lord_mission_told:lord_mission_rejected|I fear I cannot accept such a mission at the moment.{***}
dlga_lord_mission_rejected:close_window|Is that so? Well, I suppose you're just not up to the task.I shall have to look for somebody with more mettle.{***}
dlga_lord_leave:close_window|Farewell, my lady. I shall remain your most ardent admirer.{***}
dlga_lord_leave:close_window.1|Farewell then, {playername}.{***}
dlga_lord_leave:close_window.2|Godspeed, {playername}.{***}
dlga_lord_leave:close_window.3|Yes, whatever. Farewell.{***}
dlga_lord_leave:close_window.4|Until next time, then.{***}
dlga_dplmc_companion_quitting_lord_1:dplmc_companion_quitting_lord_persuasion|Perhaps I may convince you to think it over?{***}
dlga_dplmc_companion_quitting_lord_persuasion:close_window|Hmmmm, all right. I guess I can stick around for a while.{***}
dlga_dplmc_companion_quitting_lord_persuasion:dplmc_companion_quitting_lord_1|Sorry, but I can't put it off any longer.{***}
dlga_companion_quitting:companion_quitting_2|{s5}{***}
dlga_companion_quitting_2:companion_quitting_response|To tell you the truth, {s21}{***}
dlga_companion_quitting_response:companion_quitting_yes|Very well. You be off, then.{***}
dlga_companion_quitting_yes:close_window|Goodbye, then. Perhaps I'll see you around, {playername}.{***}
dlga_companion_quitting_response:dplmc_companion_quitting_persuasion_start|Perhaps I may convince you to think it over?{***}
dlga_dplmc_companion_quitting_persuasion_start:dplmc_companion_quitting_persuasion_1|Very well, I shall hear you out.{***}
dlga_dplmc_companion_quitting_persuasion_1:companion_quitting_persuasion|We've had some good times together. Things might not be going to your liking now, but stay around for a while and it will get better, I am sure of it.{***}
dlga_companion_quitting_persuasion:close_window|Hmmmm, all right. I guess I can stick around for a while, see if things improve.{***}
