menu_start_game_0|Select your gender:{***}
mno_start_game_0_start_normal|Male{***}
mno_start_pro|Female{***}
menu_start_phase_2|{s10}{***}
mno_exit_to_map|Enter the Caribbean!{***}
mno_tutorial_cheat|CHEAT!{***}
menu_start_game_3|Choose your scenario:{***}
mno_go_back|Go back{***}
menu_tutorial|You approach a field where the locals are training with weapons. You can practice here to improve your combat skills.{***}
mno_continue|Continue...{***}
mno_go_back_dot|Go back.{***}
menu_reports|Military rank: {s60}^{s62}^Business reputation: {s61}^Renown: {reg5}^Honor: {reg6}^^Company morale: {reg8}^Maximum company size: {reg7}^{s1}{***}
mno_view_party_size_report|View company size report.{***}
mno_view_weekly_budget_report|View weekly budget report.{***}
mno_view_morale_report|View company morale report.{***}
mno_view_letter_of_marque_report|View letter of marque report.{***}
mno_view_affiliated_family_report|View affiliated family member / spouse report.{***}
mno_view_faction_relations_report|View faction relations report.{***}
mno_resume_travelling|Resume travelling.{***}
menu_custom_battle_scene|(NO TRANS){***}
menu_custom_battle_end|The battle is over. {s1} In the fighting, your troops have killed {reg5} enemies and lost {reg6} men. You slew {reg7} enemies personally.{***}
menu_start_game_1|Choose your starting background and difficulty level:{***}
mno_start_colonel|Retired officer (easy warrior){***}
mno_start_merchant|Enterprising trader (easy merchant){***}
mno_start_pirate|Dastardly pirate (medium){***}
mno_start_convict|Escaped convict (hard){***}
menu_start_character_1|You were born years ago, in a land far away. Your father was...{***}
mno_start_noble|An impoverished noble.{***}
mno_start_character_1_start_merchant|A travelling merchant.{***}
mno_start_guard|A veteran warrior.{***}
mno_start_forester|A hunter.{***}
mno_start_character_1_start_nomad|A steppe nomad.{***}
mno_start_thief|A thief.{***}
menu_start_character_2|{s10}^^ You started to learn about the world almost as soon as you could walk and talk. You spent your early life as...{***}
mno_page|A page at a nobleman's court.{***}
mno_apprentice|A craftsman's apprentice.{***}
mno_stockboy|A shop assistant.{***}
mno_urchin|A street urchin.{***}
mno_nomad|A steppe child.{***}
menu_start_character_3|{s11}^^ Then, as a young adult, life changed as it always does. You became...{***}
mno_squire|A squire.{***}
mno_lady|A lady-in-waiting.{***}
mno_troubadour|A troubadour.{***}
mno_student|A university student.{***}
mno_peddler|A goods peddler.{***}
mno_craftsman|A smith.{***}
mno_poacher|A game poacher.{***}
menu_start_character_4|{s12}^^But soon everything changed and you decided to strike out on your own as an adventurer. What made you take this decision was...{***}
mno_revenge|Personal revenge.{***}
mno_death|The loss of a loved one.{***}
mno_wanderlust|Wanderlust.{***}
mno_disown|Being forced out of your home.{***}
mno_greed|Lust for money and power.{***}
menu_choose_skill|{s13}{***}
mno_begin_adventuring|Become an adventurer and sail to the Caribbean.{***}
menu_past_life_explanation|{s3}{***}
mno_view_next|{s5}{***}
menu_morale_report|{s1}{***}
menu_letter_of_marque_report|{s1}{***}
menu_courtship_relations|{s1}{***}
menu_lord_relations|{s1}{***}
mno_jump_to_dplmc_lord_relations_2|Display the player faction's captains and the numbers of settlements{***}
menu_companion_report|{s7}{s1}{***}
menu_character_report|{s9}{***}
mno_character_report_continue5|Continue...{***}
menu_party_size_report|{s1}{***}
menu_faction_relations_report|{s1}{***}
menu_camp|You set up camp. What do you want to do?{***}
mno_camp_wait_here|Wait here for some time.{***}
mno_choose_scene|Scene Chooser{***}
mno_test_land_battle_af1|Test artillery field 1{***}
mno_test_land_battle_af2|Test artillery field 2{***}
mno_test_sea_assault|Test Sea assault{***}
mno_test_land_battle_small|Test Land Battle Small{***}
mno_fraction|Renown{***}
mno_woman|Woman{***}
mno_man|Man{***}
mno_battle_camp|Battle camp{***}
menu_camp_cheat|Select a cheat:{***}
mno_camp_cheat_find_item|Find an item...{***}
mno_camp_cheat_find_item1|Change weather...{***}
menu_camp_action|Choose an action:{***}
mno_camp_recruit_prisoners|Offer some of your prisoners to join your company.{***}
mno_action_rename_kingdom|Rename your kingdom.{***}
mno_action_change_vassal_title|Change the titulation of your nobles.{***}
mno_action_examine_ship_decks|Walk upon the deck of your ship.{***}
mno_action_examine_ship_match_1|Take a look from the foremast.{***}
mno_action_examine_ship_match_2|Take a look from the main mast.{***}
mno_action_retire|Retire from adventuring.{***}
mno_camp_action_4|Back to camp menu.{***}
menu_camp_recruit_prisoners|You offer your prisoners freedom if they agree to join you as soldiers. {s18}{***}
mno_camp_recruit_prisoners_accept|Take them.{***}
mno_camp_recruit_prisoners_reject|Reject them.{***}
mno_camp_recruit_prisoners_continue|Go back.{***}
menu_camp_no_prisoners|You have no prisoners to recruit from.{***}
menu_retirement_verify|You are at day {reg0}. Your current luck is {reg1}. Are you sure you want to retire?{***}
mno_retire_yes|Yes.{***}
mno_retire_no|No.{***}
menu_end_game|The decision is made, and you resolve to give up your adventurer'slife and settle down. You sell off your weapons and armour, gather upall your money, and ride off into the sunset....{***}
mno_end_game_bye|Farewell.{***}
menu_cattle_herd|You encounter a herd of cattle.{***}
mno_cattle_drive_away|Drive the cattle onward.{***}
mno_cattle_stop|Bring the herd to a stop.{***}
mno_cattle_kill|Slaughter some of the animals.{***}
mno_leave|Leave.{***}
menu_cattle_herd_kill|How many animals do you want to slaughter?{***}
mno_cattle_kill_1|One.{***}
mno_cattle_kill_2|Two.{***}
mno_cattle_kill_3|Three.{***}
mno_cattle_kill_4|Four.{***}
mno_cattle_kill_5|Five.{***}
menu_arena_duel_fight|You and your opponent prepare for a duel.{***}
menu_simple_encounter|{s2} You have {reg10} troops ready for battle against their {reg11}. {s4}{***}
mno_simple_encounter_encounter_attack|Charge the enemy.{***}
mno_encounter_order_attack|Order your troops to attack without you.{***}
mno_encounter_leave|Leave.{***}
mno_encounter_retreat|Pull back, leaving some soldiers behind to cover your retreat.{***}
mno_encounter_surrender|Surrender.{***}
mno_talk_lord|Negotiate.{***}
menu_encounter_retreat_confirm|As the officer with the highest tactics skill ({reg2}), {reg3?you devise:{s3} devises} a plan that will allow you and your men to escape with your lives, but you'll have to leave {reg4} soldiers behind to stop the enemy from giving chase.{***}
mno_leave_behind|Go on. The sacrifice of these men will save the rest.{***}
mno_dont_leave_behind|No. We leave no one behind.{***}
menu_encounter_retreat|You tell {reg4} of your troops to hold the enemy while you retreat with the rest of your party.{***}
menu_order_attack_begin|Your troops prepare to attack the enemy.{***}
mno_order_attack_begin|Order the attack to begin.{***}
mno_call_back|Call them back.{***}
menu_order_attack_2|{s4}^^Your casualties: {s8}^^Enemy casualties: {s9}{***}
mno_order_attack_continue|Order your soldiers to resume the attack.{***}
mno_order_retreat|Call your soldiers back.{***}
menu_battle_debrief|{s11}^^Your Casualties:{s8}{s10}^^Enemy Casualties:{s9}{***}
menu_total_victory|You shouldn't be reading this... {s9}{***}
menu_enemy_slipped_away|{s17}{***}
menu_permanent_damage|{s0}{***}
mno_s0|{s0}{***}
menu_pre_join|You come across a battle between {s2} and {s1}. You decide to...{***}
mno_pre_join_help_attackers|Charge in to assist {s2}.{***}
mno_pre_join_help_defenders|Hurry to help {s1}.{***}
mno_pre_join_leave|Ignore them.{***}
menu_join_battle|You have decided to get involved alongside {s2} against {s1}. You have {reg10} troops ready for battle against the enemy's {reg11}.{***}
mno_join_attack|Charge the enemy.{***}
mno_join_order_attack|Order your troops to join your allies while you stay back.{***}
mno_join_leave|Leave.{***}
menu_join_order_attack|{s4}^^Your casualties: {s8}^^Allied casualties: {s9}^^Enemy casualties: {s10}{***}
menu_zendar|You enter the town of Zendar.{***}
mno_zendar_enter| {***}
mno_zendar_tavern| {***}
mno_zendar_merchant| {***}
mno_zendar_arena| {***}
mno_town_1_leave| {***}
menu_salt_mine|You enter the salt mine.{***}
mno_enter|Enter.{***}
menu_four_ways_inn|You arrive at the Four Ways Inn.{***}
menu_test_scene|You enter the test scene.{***}
mno_test_scene_enter|Enter 1.{***}
mno_test_scene_enter1|Enter 2.{***}
mno_test_scene_enter2|Enter 3.{***}
mno_test_scene_enter3|Enter 4.{***}
mno_test_scene_enter4|Enter 5.{***}
mno_test_scene_enter5|Enter 6.{***}
