str_no_string|NO STRING!{***}
str_empty_string| {***}
str_yes|Yes.{***}
str_no|No.{***}
str_s1_team|{s1} squad{***}
str_warning_max_players_count_text|The recommended number of players for this mode is 16 players{***}
str_warning_max_players_count_text2|The recommended number of players for this mode is 8 players. TODO: Squad size is 6.{***}
str_command_info_text|Squad size: {reg1}, cost: {reg2}{***}
str_trade_patent_text|trade patent text{***}
str_oim_trade_troubles_descr|str oim trade troubles descr{***}
str_oim_trade_pantent_granted|oim trade pantent granted{***}
str_reason_high_price|Way too expensive for me.{***}
str_return_later|I will return later.{***}
str_recruit_first|It might be prudent to recruit some soldiers first.{***}
str_squad_size|Squad size:{***}
str_squad_size_small|Small squads{***}
str_squad_size_normal|Normal squads{***}
str_squad_size_big|Large squads{***}
str_squad_size_huge|Huge squads{***}
str_multi_disable_granades|Disable grenades:{***}
str_squad_size_s2|Squad size: {s2}{***}
str_granades_are_disallowed|Grenades are disallowed.{***}
str_granades_are_allowed|Grenades are allowed.{***}
str_ms_order_for_horse|Master horsedealer possesses a vast array of contacts from Spain to Arabian deserts. Given time, he can procure a mount of the rarest and most precious breed.{***}
str_debug_create_kingdom_here_party|debug create kingdom here party{***}
str_gun_nine_ft|9ft gun{***}
str_oim_cannon_8_cop|8lb saker{***}
str_oim_cannon_12_cop|12-pounder{***}
str_oim_cannon_16_cop|16-pounder{***}
str_oim_cannon_24_cop|24-pounder{***}
str_oim_cannon_32_cop|32lb demicannon{***}
str_oim_cannon_42_cop|42lb cannon{***}
str_oim_culverin_12_cop|12lb demiculverin{***}
str_oim_culverin_16_cop|16lb culverin{***}
str_oim_culverin_24_cop|24lb culverin{***}
str_oim_culverin_32_cop|32lb culverin{***}
str_oim_cannon_8_ir|8lb saker{***}
str_oim_cannon_12_ir|12-pounder{***}
str_oim_cannon_16_ir|16-pounder{***}
str_oim_cannon_24_ir|24-pounder{***}
str_oim_cannon_32_ir|32lb demicannon{***}
str_oim_cannon_42_ir|42lb cannon{***}
str_oim_culverin_12_ir|12lb demiculverin{***}
str_oim_culverin_16_ir|16lb culverin{***}
str_oim_culverin_24_ir|24lb culverin{***}
str_oim_culverin_32_ir|32lb culverin{***}
str_test_ship_name|Frigate{***}
str_boats_ship_name|Sailboat{***}
str_oim_warboats_ship_name|Armed Boat{***}
str_oim_sloop_4c_name|Small Sloop{***}
str_oim_sloop_8c_name|Large Sloop{***}
str_oim_snow_name|Snow{***}
str_oim_cutter_name|Cutter{***}
str_oim_shooner_8c_name|Small Shooner{***}
str_oim_shooner_12c_name|Large Shooner{***}
str_oim_brigantine_10c_name|Brigantine{***}
str_oim_brigantine_14c_name|War Brigantine{***}
str_oim_brig_12c_name|Brig{***}
str_oim_brig_16c_name|War Brig{***}
str_oim_barque_12c_name|Small Barque{***}
str_oim_barque_16c_name|Large Barque{***}
str_oim_sloopofwar_name|Sloop-of-war{***}
str_oim_fluyt_8c_name|Small Fluyt{***}
str_oim_fluyt_14c_name|Large Fluyt{***}
str_oim_fluytofwar_name|Fluyt-of-war{***}
str_oim_pinnace_12c_name|Small Pinnace{***}
str_oim_pinnace_18c_name|Large Pinnace{***}
str_oim_l_galleon_26c_name|Light Galleon{***}
str_oim_galleon_32c_name|Medium Galleon{***}
str_oim_galleon_48c_name|Heavy Galleon{***}
str_oim_h_galleon_64c_name|War Galleon{***}
str_oim_h_galleon_86c_name|Manila Galleon{***}
str_oim_carrack_name|Carrack{***}
str_oim_corvette_20c_name|Small Corvette{***}
str_oim_corvette_30c_name|Large Corvette{***}
str_oim_frigate_24c_name|6th rate Frigate{***}
str_oim_frigate_36c_name|5th rate Frigate{***}
str_oim_frigate_48c_name|4th rate Frigate{***}
str_oim_lineship_3rd_name|3rd rate Ship of the Line{***}
str_oim_lineship_2nd_name|2nd rate Ship of the Line{***}
str_oim_lineship_1st_name|1st rate Ship of the Line{***}
str_squad_size_s0|Squad size: {s0}{***}
str_forget_it|Forget it.{***}
str_oim_ms_construct_only_one_instanse_for_player|You can only build it once.{***}
str_oim_ms_construct_party_has_merchant_guild|You need to construct the merchant guild first.{***}
str_oim_ms_construct_party_has_arm_buildings|You need to construct the armory and the barracks first.{***}
