ip_ranks_info|01. Ranks and fame{***}
ip_ranks_info_text|You rise in rank as you improve your martial fame and business reputation. New military ranks are reached by increasing your renown, which rises as you complete tasks and achieve victories on the field of battle. The larger and harder are your fights, the shorter is your path to glory. As for your business acumen, it is judged best by the jingle of coins: your status increases with your cash reserves, with the amount of trade goods in your warehouses, with the manufactories and plantations you own, and with the cargo capacity of your fleet.^^Normally, you start as a mere sailor. As such, you can only recruit armed civilians such as colonists and hunters, and purchase boat-sized vessels. As you rise in status, so do your opportunities. New military ranks allow you to hire better soldiers and purchase more powerful warships. An increase in business reputation opens access to larger trade vessels and allows to build more manufactories. Famous warriors and influential traders are permitted to outfit their fleets with heavier naval artillery, can purchase letters of marquee and eventually can be invited to join one of the European powers - or the Brethren of the Coast.{***}
ip_military_ranks_info|02. Military ranks{***}
ip_military_ranks_info_text|Midshipman:^Can hire colonial soldiers.^Can purchase light ships.^^Lieutenant:^Can purchase medium ships, up to rank 2.^Can have 1 letter of marquee.^Can purchase 12-pounder naval artillery.^Can upgrade vessels.^Can join a faction.^^Captain Lieutenant:^Can hire regular soldiers.^Can purchase warships, up to rank 2.^Can purchase 16-pounder naval artillery.^Can attack and plunder cities.^^Captain:^Can purchase field guns.^Can purchase warships, up to rank 3.^Can have up to 2 letters of marquee.^Can purchase 24-pounder naval artillery.^Can conquer cities for his faction.^^Commodore:^Can hire elite soldiers.^Can purchase warships, up to rank 4.^Can have up to 3 letters of marquee.^Can purchase 32-pounder naval artillery.^Can be granted governorship over a city by his faction.^^Admiral:^Can purchase warships of any rank.^Can purchase 42-pounder naval artillery.{***}
ip_trader_ranks_info|03. Business reputation{***}
ip_trader_ranks_info_text|Shopkeeper:^Can build mines and plantations.^Can own 1 enterprise per town, up to 5 total.^Can purchase light ships.^^Trader:^Can hire colonial soldiers.^Can own up to 2 enterprises per town, up to 10 total.^Can purchase medium ships, up to rank 2.^Can upgrade vessels.^Can join a faction.^^Merchant:^Can build manufactories.^Can own up to 3 enterprises per town, up to 15 total.^Can have 1 letter of marquee.^Can purchase trade ships, up to rank 2.^Can purchase 12-pounder naval artillery.^^Patrician:^Can hire regular soldiers.^Can own up to 4 enterprises per town, up to 20 total.^Can purchase trade ships, up to rank 3.^Can purchase 16-pounder naval artillery.^Fewer taxes and harbor fees in the cities of his faction.^Councilor:^^Can purchase field guns.^Can own up to 5 enterprises per town, up to 25 total.^Can purchase trade ships, up to rank 4.^Can have up to 2 letters of marquee.^Can purchase 24-pounder naval artillery.^Can be granted governorship over a city by his faction.^Fewer taxes and harbor fees in the cities of his faction.^^Chairman:^Can hire elite soldiers.^Can own up to 10 enterprises per town, up to 100 total.^Can purchase trade ships of any rank.^Can purchase 32- and 42-pounder naval artillery.^Fewer taxes and harbor fees in the cities of his faction.{***}
ip_battleplan_info|04. Planning a battle{***}
ip_battleplan_info_text|At the start of field battle, you can deploy your troops by clicking icons of their branches of service and positioning them where you want your soldiers to take a stand. Within each branch of service, your troopers are combined into up to 4 platoons you can direct separately. You can release control over a platoon and let it fight on its own by releasing its icon over the panel at your right. Three buttons above the platoon panel are used to give orders to the entire army - charge enemy, follow you around the battlefield, or hold position.^^Once the battle is joined, you can call up the planning screen with the Battle Map key ('Backspace' by default). Movement orders are given identically to pre-battle deployment, except that your units now take time reaching their destinations. You can alternate them between 'Move' and 'Attack' movement orders, with the former favoring speed over formation, while the later tells your troops to maintain their fighting cohesion while in transit.{***}
ip_sea_battle_info|05. Naval combat{***}
ip_sea_battle_info_text|You can steer your ship left and right using the '{s2}' and '{s4}' keys. To raise sails and increase your speed, hold '{s1}', to fold sails and slow down, hold '{s3}'.^^There are several ways to fire at enemy vessels. The easiest is to hit the 'Space' key when an enemy is in range of any of your cannons - all the batteries with hostile ships in range will fire at them. That way you can attack more than one enemy at once, as long as they are targeted by different batteries. Alternately, you can click the gun deck icons at the bottom to discharge the batteries individually.^^Your cannons can use 3 kinds of ammunition. Solid cannonballs used by default do the most damage against hulls, and are perfect to sink enemies quickly. They have superior range as well. Alternately, you can load chainshot to wreck enemy rigging and slow it down, or grapeshot to mow down enemy crew in preparation for boarding.^^When you have enough ammunition, you can drop powder kegs as mines. When a ship collides with such a mine, it will be set aflame. You can also repair some of the damage suffered by your hull and rigging, providing you have enough timber or linen in your hold.^^In order to board an enemy vessel, close down to it until the boarding prompt comes up, and hold the '{s7}' key until the bar is filled.^^With additional ships under your command, you can give them orders via calling up the command bar by clicking on their icons on the left side of the screen. You can order them to lay their own mines, attack specific enemies (select a target by clicking on it), stop and keep out of battle, or become a fireship. Fireships lose control and burn down quickly, but if one manages to collide with another ship, that ship is in mortal danger.{***}
ip_cityassault_info|06. Attacking cities{***}
